image,curl_type,thickness,density,part_position,part_shape
Frame00630-org.jpg,wavy,thick,dense,3,straight
Frame00607-org.jpg,wavy,medium,dense,3,unknown
Frame00812-org.jpg,wavy,thick,dense,3,unknown
Frame00027-org.jpg,wavy,thick,dense,5,straight
Frame00521-org.jpg,wavy,thick,medium,5,straight
Frame00241-org.jpg,wavy,medium,medium,3,unknown
Frame00763-org.jpg,wavy,medium,dense,3,unknown
Frame00001-org.jpg,wavy,thick,medium,3,unknown
Frame00861-org.jpg,wavy,thick,medium,3,unknown
Frame00530-org.jpg,wavy,medium,medium,1,straight
Frame00954-org.jpg,wavy,medium,dense,3,unknown
Frame00258-org.jpg,wavy,medium,dense,3,straight
Frame00296-org.jpg,wavy,thick,dense,3,unknown
Frame00132-org.jpg,wavy,medium,medium,3,unknown
Frame00276-org.jpg,wavy,medium,dense,3,unknown
Frame00946-org.jpg,wavy,thick,medium,3,unknown
Frame00375-org.jpg,wavy,thick,medium,3,unknown
Frame00976-org.jpg,wavy,medium,medium,3,unknown
Frame00541-org.jpg,wavy,thick,sparse,3,unknown
Frame01035-org.jpg,wavy,medium,dense,3,unknown
Frame00131-org.jpg,wavy,medium,medium,3,unknown
Frame00705-org.jpg,wavy,thick,medium,3,unknown
Frame00342-org.jpg,wavy,medium,dense,3,straight
Frame00422-org.jpg,wavy,thick,medium,3,unknown
Frame00641-org.jpg,wavy,thick,medium,3,unknown
Frame00250-org.jpg,wavy,thick,medium,3,unknown
Frame00461-org.jpg,wavy,thick,medium,3,unknown
Frame00264-org.jpg,wavy,medium,dense,3,unknown
Frame00343-org.jpg,wavy,medium,medium,3,curved
Frame00057-org.jpg,wavy,thick,medium,3,unknown
Frame00364-org.jpg,wavy,medium,dense,3,unknown
Frame00505-org.jpg,wavy,medium,medium,5,straight
Frame00080-org.jpg,wavy,thick,medium,3,unknown
Frame00502-org.jpg,wavy,thick,dense,5,straight
Frame00229-org.jpg,wavy,thick,dense,3,unknown
Frame00799-org.jpg,wavy,thick,dense,3,unknown
Frame01006-org.jpg,wavy,medium,medium,3,unknown
Frame00136-org.jpg,wavy,thick,dense,3,unknown
Frame00628-org.jpg,wavy,medium,medium,3,unknown
Frame00284-org.jpg,wavy,medium,medium,3,unknown
Frame00908-org.jpg,wavy,thick,medium,3,unknown
Frame00145-org.jpg,wavy,thick,medium,3,unknown
Frame00394-org.jpg,wavy,thick,dense,1,curved
Frame00765-org.jpg,wavy,thick,dense,3,unknown
Frame00693-org.jpg,wavy,thick,medium,3,unknown
Frame00943-org.jpg,wavy,medium,medium,1,straight
Frame00725-org.jpg,wavy,thick,medium,3,unknown
Frame00560-org.jpg,wavy,medium,medium,3,unknown
Frame00392-org.jpg,wavy,thick,medium,1,curved
Frame00586-org.jpg,wavy,medium,medium,3,unknown
Frame00690-org.jpg,straight,thick,sparse,3,unknown
Frame00211-org.jpg,wavy,thick,medium,5,straight
Frame00110-org.jpg,wavy,medium,medium,5,straight
Frame00474-org.jpg,wavy,thick,medium,3,unknown
Frame00580-org.jpg,wavy,thick,dense,1,straight
Frame00852-org.jpg,wavy,medium,dense,3,unknown
Frame00475-org.jpg,wavy,thick,dense,3,unknown
Frame00848-org.jpg,wavy,thick,dense,3,unknown
Frame00472-org.jpg,wavy,medium,medium,3,unknown
Frame00122-org.jpg,wavy,thick,dense,3,unknown
Frame00438-org.jpg,wavy,thick,dense,3,unknown
Frame00003-org.jpg,wavy,thick,medium,3,unknown
Frame00528-org.jpg,wavy,medium,medium,1,straight
Frame00380-org.jpg,wavy,thick,dense,3,unknown
Frame00620-org.jpg,wavy,medium,medium,3,unknown
Frame00189-org.jpg,wavy,medium,medium,3,unknown
Frame00657-org.jpg,wavy,medium,medium,3,unknown
Frame00687-org.jpg,wavy,medium,medium,3,unknown
Frame00786-org.jpg,wavy,thick,dense,3,unknown
Frame00942-org.jpg,wavy,medium,dense,3,unknown
Frame00317-org.jpg,wavy,thick,dense,3,unknown
Frame00337-org.jpg,wavy,thick,dense,3,unknown
Frame00672-org.jpg,wavy,thick,dense,3,unknown
Frame00286-org.jpg,wavy,medium,medium,5,straight
Frame00377-org.jpg,wavy,thick,dense,5,curved
Frame00574-org.jpg,wavy,thick,medium,3,unknown
Frame00915-org.jpg,wavy,medium,medium,3,straight
Frame00529-org.jpg,wavy,medium,dense,3,unknown
Frame00020-org.jpg,wavy,medium,dense,3,unknown
Frame00191-org.jpg,wavy,thick,medium,3,unknown
Frame00683-org.jpg,wavy,thick,medium,3,unknown
Frame00994-org.jpg,wavy,medium,medium,3,unknown
Frame00488-org.jpg,straight,thick,sparse,3,unknown
Frame00514-org.jpg,wavy,medium,medium,3,unknown
Frame00920-org.jpg,wavy,medium,dense,3,unknown
Frame00696-org.jpg,wavy,medium,medium,3,unknown
Frame00351-org.jpg,wavy,thick,medium,3,unknown
Frame00312-org.jpg,wavy,thick,medium,3,unknown
Frame00509-org.jpg,wavy,medium,dense,5,straight
Frame00639-org.jpg,wavy,thick,medium,5,curved
Frame00727-org.jpg,wavy,medium,medium,3,straight
Frame00137-org.jpg,wavy,thick,medium,5,straight
Frame00517-org.jpg,wavy,medium,dense,3,unknown
Frame00691-org.jpg,wavy,thick,medium,3,unknown
Frame00703-org.jpg,wavy,medium,medium,1,unknown
Frame00598-org.jpg,wavy,thick,medium,3,unknown
Frame00924-org.jpg,wavy,thick,medium,3,unknown
Frame00465-org.jpg,wavy,thick,medium,3,unknown
Frame00655-org.jpg,wavy,thick,medium,3,unknown
Frame00448-org.jpg,wavy,medium,medium,5,straight
Frame01029-org.jpg,wavy,medium,medium,3,unknown
Frame00634-org.jpg,wavy,thick,dense,3,curved
Frame00986-org.jpg,wavy,medium,dense,3,unknown
Frame00411-org.jpg,wavy,thick,medium,3,unknown
Frame00945-org.jpg,wavy,medium,medium,3,unknown
Frame00698-org.jpg,wavy,medium,medium,3,straight
Frame00161-org.jpg,wavy,thick,dense,3,straight
Frame00854-org.jpg,wavy,medium,dense,3,unknown
Frame00857-org.jpg,wavy,medium,dense,3,unknown
Frame00219-org.jpg,wavy,thick,medium,3,unknown
Frame00119-org.jpg,wavy,medium,medium,3,unknown
Frame00051-org.jpg,wavy,medium,medium,3,unknown
Frame00537-org.jpg,wavy,medium,medium,3,unknown
Frame00928-org.jpg,wavy,thick,medium,3,unknown
Frame00501-org.jpg,wavy,medium,medium,3,unknown
Frame00804-org.jpg,wavy,thick,dense,3,unknown
Frame00731-org.jpg,wavy,thick,medium,5,straight
Frame00405-org.jpg,wavy,medium,medium,3,unknown
Frame00190-org.jpg,wavy,thick,medium,3,straight
Frame00443-org.jpg,wavy,medium,dense,3,unknown
Frame00097-org.jpg,straight,medium,sparse,3,unknown
Frame00316-org.jpg,wavy,thick,dense,3,unknown
Frame00789-org.jpg,wavy,thick,dense,3,unknown
Frame00180-org.jpg,straight,thick,sparse,3,unknown
Frame00702-org.jpg,wavy,thick,medium,3,unknown
Frame00091-org.jpg,wavy,thick,sparse,3,unknown
Frame00692-org.jpg,wavy,medium,dense,3,unknown
Frame00231-org.jpg,wavy,thick,dense,3,unknown
Frame00565-org.jpg,wavy,medium,dense,3,unknown
Frame00476-org.jpg,wavy,medium,dense,3,unknown
Frame01004-org.jpg,wavy,thick,medium,3,unknown
Frame00040-org.jpg,wavy,medium,sparse,3,straight
Frame00591-org.jpg,wavy,thick,dense,3,unknown
Frame00911-org.jpg,wavy,thick,sparse,3,unknown
Frame00034-org.jpg,wavy,thick,dense,1,straight
Frame00949-org.jpg,wavy,medium,dense,3,unknown
Frame00199-org.jpg,wavy,thick,dense,3,unknown
Frame00455-org.jpg,wavy,thick,dense,3,unknown
Frame00379-org.jpg,wavy,medium,dense,3,unknown
Frame00950-org.jpg,wavy,medium,medium,3,unknown
Frame00557-org.jpg,wavy,thick,medium,3,unknown
Frame00493-org.jpg,wavy,thick,medium,5,straight
Frame00597-org.jpg,wavy,medium,dense,3,unknown
Frame00184-org.jpg,wavy,medium,medium,3,unknown
Frame00544-org.jpg,wavy,thick,medium,3,unknown
Frame00885-org.jpg,wavy,thick,medium,3,unknown
Frame00200-org.jpg,wavy,thick,dense,3,straight
Frame00682-org.jpg,straight,thick,sparse,3,unknown
Frame00612-org.jpg,wavy,thick,medium,3,unknown
Frame00378-org.jpg,wavy,thick,medium,3,unknown
Frame00549-org.jpg,wavy,medium,dense,3,unknown
Frame00326-org.jpg,wavy,thick,dense,3,unknown
Frame01016-org.jpg,wavy,medium,medium,3,unknown
Frame00713-org.jpg,wavy,medium,medium,1,straight
Frame00452-org.jpg,wavy,thick,medium,3,unknown
Frame00395-org.jpg,wavy,medium,medium,3,unknown
Frame00539-org.jpg,wavy,thick,dense,3,unknown
Frame00810-org.jpg,wavy,medium,dense,3,unknown
Frame00644-org.jpg,wavy,thick,medium,3,unknown
Frame00963-org.jpg,straight,thick,sparse,3,unknown
Frame00261-org.jpg,wavy,medium,dense,3,straight
Frame00879-org.jpg,wavy,medium,dense,5,straight
Frame00615-org.jpg,wavy,medium,medium,3,unknown
Frame00185-org.jpg,wavy,thick,dense,3,straight
Frame00750-org.jpg,wavy,thick,dense,3,unknown
Frame00473-org.jpg,wavy,medium,medium,1,straight
Frame00674-org.jpg,wavy,medium,dense,3,unknown
Frame00140-org.jpg,straight,thick,sparse,3,unknown
Frame00036-org.jpg,wavy,medium,medium,3,unknown
Frame00793-org.jpg,wavy,thick,medium,3,unknown
Frame00339-org.jpg,wavy,thick,dense,3,unknown
Frame01000-org.jpg,wavy,medium,dense,3,straight
Frame00958-org.jpg,wavy,medium,medium,3,unknown
Frame00716-org.jpg,wavy,medium,medium,3,unknown
Frame00540-org.jpg,wavy,medium,dense,1,straight
Frame00621-org.jpg,wavy,medium,dense,3,unknown
Frame01020-org.jpg,wavy,medium,medium,3,unknown
Frame00805-org.jpg,wavy,medium,dense,3,unknown
Frame00718-org.jpg,wavy,thick,medium,3,unknown
Frame00886-org.jpg,wavy,thick,medium,3,straight
Frame00570-org.jpg,wavy,medium,medium,3,unknown
Frame00012-org.jpg,wavy,thick,medium,3,unknown
Frame00914-org.jpg,wavy,medium,sparse,3,unknown
Frame00736-org.jpg,wavy,thick,medium,3,curved
Frame00173-org.jpg,wavy,thick,medium,3,straight
Frame00797-org.jpg,wavy,thick,medium,3,unknown
Frame00194-org.jpg,wavy,thick,dense,3,straight
Frame00150-org.jpg,wavy,medium,medium,3,unknown
Frame00677-org.jpg,wavy,thick,medium,3,unknown
Frame00160-org.jpg,wavy,thick,medium,3,straight
Frame00876-org.jpg,wavy,medium,medium,3,straight
Frame00142-org.jpg,wavy,medium,dense,3,unknown
Frame00192-org.jpg,wavy,thick,dense,3,unknown
Frame00046-org.jpg,wavy,thick,medium,3,unknown
Frame00360-org.jpg,wavy,medium,medium,5,curved
Frame00481-org.jpg,wavy,thick,medium,3,unknown
Frame00941-org.jpg,wavy,thick,dense,3,unknown
Frame00573-org.jpg,wavy,medium,medium,3,unknown
Frame00577-org.jpg,wavy,medium,medium,1,diagonal
Frame00239-org.jpg,wavy,thick,dense,3,unknown
Frame00815-org.jpg,wavy,thick,dense,3,unknown
Frame00396-org.jpg,wavy,thick,medium,3,unknown
Frame00936-org.jpg,wavy,thick,medium,3,unknown
Frame01047-org.jpg,wavy,thick,dense,3,unknown
Frame00236-org.jpg,wavy,medium,medium,3,unknown
Frame00037-org.jpg,wavy,thick,dense,3,unknown
Frame00078-org.jpg,wavy,medium,dense,3,unknown
Frame00637-org.jpg,wavy,medium,medium,1,diagonal
Frame00437-org.jpg,wavy,thick,dense,3,unknown
Frame00927-org.jpg,wavy,medium,dense,4,diagonal
Frame00776-org.jpg,wavy,medium,dense,3,unknown
Frame00223-org.jpg,wavy,medium,dense,5,curved
Frame00070-org.jpg,wavy,thick,medium,3,unknown
Frame00357-org.jpg,wavy,medium,medium,3,unknown
Frame00891-org.jpg,wavy,thick,dense,3,unknown
Frame00494-org.jpg,wavy,medium,dense,1,curved
Frame00254-org.jpg,wavy,medium,medium,5,straight
Frame00464-org.jpg,wavy,thick,dense,3,unknown
Frame00738-org.jpg,wavy,medium,medium,4,straight
Frame00553-org.jpg,wavy,thick,medium,3,straight
Frame00970-org.jpg,wavy,medium,dense,3,straight
Frame00808-org.jpg,wavy,thick,medium,2,straight
Frame00779-org.jpg,wavy,medium,dense,3,unknown
Frame00732-org.jpg,wavy,medium,dense,3,unknown
Frame00571-org.jpg,wavy,thick,dense,3,unknown
Frame00305-org.jpg,wavy,thick,dense,3,unknown
Frame00107-org.jpg,wavy,thick,dense,3,straight
Frame00352-org.jpg,wavy,thick,medium,3,unknown
Frame00835-org.jpg,wavy,thick,dense,3,unknown
Frame00428-org.jpg,wavy,thick,dense,3,unknown
Frame00224-org.jpg,wavy,thick,medium,3,unknown
Frame00834-org.jpg,wavy,thick,dense,3,unknown
Frame00260-org.jpg,wavy,thick,dense,3,unknown
Frame00061-org.jpg,wavy,medium,medium,5,diagonal
Frame00298-org.jpg,wavy,thick,medium,3,straight
Frame00106-org.jpg,wavy,thick,medium,3,unknown
Frame00067-org.jpg,wavy,thick,medium,3,unknown
Frame00130-org.jpg,wavy,medium,medium,3,unknown
Frame00760-org.jpg,wavy,thick,dense,3,unknown
Frame00118-org.jpg,wavy,thick,dense,3,unknown
Frame00564-org.jpg,wavy,medium,dense,3,unknown
Frame00811-org.jpg,wavy,thick,medium,3,unknown
Frame00665-org.jpg,wavy,medium,dense,3,straight
Frame00430-org.jpg,wavy,thick,sparse,3,unknown
Frame00624-org.jpg,wavy,thick,dense,3,unknown
Frame00214-org.jpg,wavy,medium,medium,5,straight
Frame00893-org.jpg,wavy,medium,dense,3,unknown
Frame00389-org.jpg,wavy,thick,medium,1,straight
Frame00519-org.jpg,wavy,medium,medium,3,unknown
Frame00843-org.jpg,wavy,thick,dense,3,unknown
Frame00413-org.jpg,wavy,thick,medium,3,unknown
Frame00824-org.jpg,wavy,thick,dense,3,unknown
Frame00002-org.jpg,wavy,thick,dense,5,straight
Frame00904-org.jpg,wavy,medium,medium,5,curved
Frame00344-org.jpg,wavy,medium,dense,3,unknown
Frame00766-org.jpg,wavy,thick,medium,3,unknown
Frame01014-org.jpg,wavy,thick,medium,3,unknown
Frame00318-org.jpg,wavy,thick,dense,3,unknown
Frame00094-org.jpg,wavy,thick,medium,3,unknown
Frame01044-org.jpg,wavy,thick,medium,3,unknown
Frame00603-org.jpg,wavy,thick,medium,3,unknown
Frame00671-org.jpg,wavy,thick,dense,3,unknown
Frame00710-org.jpg,wavy,medium,dense,3,unknown
Frame00291-org.jpg,wavy,medium,medium,3,unknown
Frame00492-org.jpg,wavy,thick,dense,3,straight
Frame00359-org.jpg,wavy,medium,medium,1,straight
Frame00479-org.jpg,wavy,thick,medium,3,unknown
Frame00934-org.jpg,straight,thick,sparse,3,unknown
Frame00554-org.jpg,wavy,thick,dense,3,unknown
Frame00449-org.jpg,wavy,thick,medium,3,unknown
Frame00198-org.jpg,wavy,thick,medium,1,curved
Frame00111-org.jpg,wavy,thick,dense,3,unknown
Frame00841-org.jpg,wavy,medium,sparse,3,unknown
Frame00823-org.jpg,wavy,thick,dense,3,unknown
Frame00679-org.jpg,wavy,thick,medium,3,unknown
Frame00996-org.jpg,wavy,thick,sparse,3,unknown
Frame00349-org.jpg,wavy,thick,dense,3,unknown
Frame00323-org.jpg,wavy,thick,dense,3,unknown
Frame00292-org.jpg,wavy,thick,dense,3,unknown
Frame00011-org.jpg,wavy,thick,medium,3,unknown
Frame00233-org.jpg,wavy,thick,medium,3,unknown
Frame00047-org.jpg,wavy,thick,dense,3,unknown
Frame00006-org.jpg,wavy,thick,dense,1,unknown
Frame00839-org.jpg,wavy,medium,dense,2,straight
Frame00439-org.jpg,wavy,medium,dense,5,straight
Frame00022-org.jpg,wavy,thick,dense,3,unknown
Frame00485-org.jpg,wavy,medium,medium,3,unknown
Frame00590-org.jpg,wavy,medium,dense,3,unknown
Frame00678-org.jpg,wavy,thick,medium,3,unknown
Frame00830-org.jpg,wavy,thick,dense,3,unknown
Frame00625-org.jpg,wavy,medium,medium,3,unknown
Frame00542-org.jpg,wavy,thick,medium,3,unknown
Frame00158-org.jpg,wavy,thick,medium,3,straight
Frame00754-org.jpg,wavy,thick,dense,3,unknown
Frame00845-org.jpg,wavy,medium,dense,5,straight
Frame00926-org.jpg,wavy,thick,dense,3,unknown
Frame00778-org.jpg,wavy,medium,medium,3,unknown
Frame00235-org.jpg,wavy,medium,medium,5,curved
Frame00073-org.jpg,wavy,medium,dense,3,unknown
Frame00566-org.jpg,wavy,medium,medium,3,unknown
Frame00297-org.jpg,wavy,medium,medium,3,unknown
Frame00709-org.jpg,wavy,medium,medium,5,straight
Frame00100-org.jpg,wavy,thick,medium,3,unknown
Frame00874-org.jpg,wavy,medium,medium,1,curved
Frame00244-org.jpg,wavy,thick,medium,3,unknown
Frame00421-org.jpg,wavy,thick,dense,3,unknown
Frame00268-org.jpg,wavy,medium,medium,3,unknown
Frame00249-org.jpg,wavy,thick,medium,3,unknown
Frame00482-org.jpg,wavy,thick,medium,3,unknown
Frame00170-org.jpg,wavy,thick,medium,3,straight
Frame00910-org.jpg,wavy,medium,medium,1,straight
Frame00436-org.jpg,wavy,medium,medium,3,unknown
Frame00322-org.jpg,wavy,thick,dense,3,unknown
Frame00821-org.jpg,wavy,thick,dense,3,unknown
Frame00916-org.jpg,wavy,medium,medium,3,unknown
Frame00635-org.jpg,wavy,thick,dense,3,unknown
Frame00871-org.jpg,wavy,thick,dense,3,unknown
Frame00522-org.jpg,wavy,medium,sparse,3,unknown
Frame00513-org.jpg,wavy,medium,medium,3,unknown
Frame00988-org.jpg,wavy,medium,medium,1,curved
Frame00664-org.jpg,wavy,medium,dense,3,unknown
Frame00673-org.jpg,wavy,thick,medium,3,unknown
Frame00508-org.jpg,wavy,medium,dense,3,unknown
Frame00840-org.jpg,wavy,medium,medium,5,straight
Frame00226-org.jpg,wavy,thick,medium,3,unknown
Frame00120-org.jpg,wavy,medium,dense,3,straight
Frame00866-org.jpg,wavy,medium,dense,3,unknown
Frame00300-org.jpg,wavy,medium,medium,5,straight
Frame00585-org.jpg,wavy,thick,dense,3,straight
Frame01032-org.jpg,wavy,medium,medium,3,unknown
Frame00887-org.jpg,wavy,thick,medium,3,straight
Frame00818-org.jpg,wavy,thick,dense,4,unknown
Frame00330-org.jpg,wavy,thick,dense,3,unknown
Frame00919-org.jpg,wavy,medium,dense,3,unknown
Frame00593-org.jpg,wavy,thick,dense,3,unknown
Frame00747-org.jpg,wavy,medium,dense,3,unknown
Frame00711-org.jpg,wavy,thick,dense,3,unknown
Frame00341-org.jpg,wavy,thick,dense,3,unknown
Frame00499-org.jpg,wavy,medium,medium,1,curved
Frame00025-org.jpg,wavy,thick,medium,3,unknown
Frame01007-org.jpg,wavy,thick,medium,3,unknown
Frame00108-org.jpg,wavy,medium,dense,3,unknown
Frame00159-org.jpg,wavy,thick,medium,3,straight
Frame00171-org.jpg,wavy,thick,medium,3,straight
Frame00613-org.jpg,wavy,medium,dense,3,unknown
Frame00309-org.jpg,wavy,thick,dense,3,unknown
Frame00849-org.jpg,wavy,thick,dense,3,unknown
Frame00932-org.jpg,wavy,medium,medium,3,curved
Frame00999-org.jpg,wavy,medium,medium,3,unknown
Frame00077-org.jpg,wavy,thick,medium,3,unknown
Frame00083-org.jpg,wavy,thick,dense,3,unknown
Frame00088-org.jpg,wavy,medium,medium,3,unknown
Frame00684-org.jpg,wavy,medium,medium,3,straight
Frame00882-org.jpg,wavy,medium,dense,3,unknown
Frame00925-org.jpg,wavy,thick,medium,3,unknown
Frame00787-org.jpg,wavy,thick,dense,3,unknown
Frame00478-org.jpg,wavy,medium,dense,5,curved
Frame00829-org.jpg,wavy,medium,medium,3,unknown
Frame00243-org.jpg,wavy,medium,medium,5,straight
Frame00556-org.jpg,wavy,medium,medium,3,unknown
Frame00445-org.jpg,wavy,medium,medium,3,straight
Frame00851-org.jpg,wavy,thick,medium,1,straight
Frame00831-org.jpg,wavy,thick,dense,3,unknown
Frame00619-org.jpg,wavy,thick,dense,3,unknown
Frame00618-org.jpg,wavy,thick,medium,3,unknown
Frame00780-org.jpg,wavy,thick,dense,5,curved
Frame00234-org.jpg,wavy,thick,medium,3,straight
Frame00256-org.jpg,wavy,thick,dense,3,unknown
Frame00896-org.jpg,wavy,thick,dense,3,straight
Frame00477-org.jpg,straight,thick,sparse,1,straight
Frame00533-org.jpg,wavy,medium,medium,3,unknown
Frame00348-org.jpg,wavy,medium,dense,1,curved
Frame00626-org.jpg,wavy,thick,medium,3,unknown
Frame00497-org.jpg,wavy,thick,medium,3,unknown
Frame00880-org.jpg,wavy,medium,dense,3,straight
Frame00735-org.jpg,wavy,thick,dense,3,unknown
Frame00806-org.jpg,wavy,thick,dense,1,straight
Frame00383-org.jpg,wavy,thick,sparse,3,straight
Frame00609-org.jpg,wavy,thick,dense,3,straight
Frame00016-org.jpg,wavy,medium,medium,3,unknown
Frame00921-org.jpg,wavy,medium,dense,3,unknown
Frame00167-org.jpg,wavy,thick,dense,3,straight
Frame00825-org.jpg,wavy,thick,dense,3,unknown
Frame01019-org.jpg,wavy,medium,medium,3,unknown
Frame01001-org.jpg,wavy,medium,medium,3,unknown
Frame00009-org.jpg,wavy,medium,dense,3,unknown
Frame00468-org.jpg,wavy,thick,dense,3,unknown
Frame00038-org.jpg,wavy,thick,medium,3,unknown
Frame01024-org.jpg,wavy,thick,medium,3,unknown
Frame00930-org.jpg,straight,thick,sparse,3,unknown
Frame00419-org.jpg,wavy,thick,dense,5,straight
Frame00407-org.jpg,wavy,medium,medium,3,unknown
Frame00864-org.jpg,wavy,medium,dense,3,unknown
Frame00653-org.jpg,wavy,thick,medium,3,unknown
Frame00723-org.jpg,wavy,thick,dense,3,unknown
Frame00907-org.jpg,straight,thick,sparse,3,unknown
Frame00894-org.jpg,wavy,thick,dense,3,unknown
Frame00890-org.jpg,wavy,thick,dense,3,unknown
Frame01025-org.jpg,wavy,medium,medium,3,unknown
Frame00227-org.jpg,wavy,thick,medium,3,unknown
Frame00017-org.jpg,wavy,thick,medium,3,unknown
Frame00007-org.jpg,wavy,medium,dense,3,unknown
Frame00412-org.jpg,wavy,thick,medium,3,unknown
Frame00299-org.jpg,wavy,thick,medium,3,unknown
Frame00600-org.jpg,wavy,medium,medium,3,unknown
Frame00026-org.jpg,wavy,medium,dense,3,unknown
Frame00545-org.jpg,wavy,thick,dense,3,unknown
Frame00255-org.jpg,wavy,medium,dense,3,unknown
Frame00146-org.jpg,wavy,medium,dense,3,straight
Frame00875-org.jpg,wavy,medium,medium,3,curved
Frame00275-org.jpg,wavy,medium,medium,3,unknown
Frame00054-org.jpg,wavy,thick,dense,3,unknown
Frame00844-org.jpg,wavy,thick,dense,3,unknown
Frame00071-org.jpg,wavy,medium,medium,3,unknown
Frame00197-org.jpg,wavy,thick,dense,3,unknown
Frame00955-org.jpg,wavy,medium,dense,3,unknown
Frame00117-org.jpg,wavy,medium,dense,3,unknown
Frame00733-org.jpg,wavy,medium,dense,5,straight
Frame00008-org.jpg,wavy,medium,dense,3,straight
Frame00174-org.jpg,wavy,medium,medium,3,straight
Frame00441-org.jpg,wavy,medium,medium,3,unknown
Frame00447-org.jpg,wavy,medium,medium,3,unknown
Frame00807-org.jpg,wavy,medium,medium,3,straight
Frame00066-org.jpg,wavy,medium,sparse,5,diagonal
Frame00550-org.jpg,wavy,thick,medium,3,curved
Frame01021-org.jpg,wavy,medium,sparse,3,unknown
Frame00355-org.jpg,wavy,thick,medium,3,unknown
Frame00670-org.jpg,wavy,medium,medium,3,unknown
Frame00652-org.jpg,wavy,medium,dense,3,curved
Frame00546-org.jpg,wavy,thick,medium,3,straight
Frame00273-org.jpg,wavy,thick,dense,3,unknown
Frame00506-org.jpg,wavy,thick,medium,3,unknown
Frame00748-org.jpg,wavy,medium,medium,3,unknown
Frame01030-org.jpg,wavy,thick,dense,5,straight
Frame00870-org.jpg,wavy,thick,sparse,3,unknown
Frame00759-org.jpg,wavy,medium,dense,3,unknown
Frame00218-org.jpg,wavy,thick,medium,3,unknown
Frame00800-org.jpg,wavy,thick,medium,3,straight
Frame00228-org.jpg,straight,thick,sparse,3,unknown
Frame00446-org.jpg,wavy,medium,dense,3,unknown
Frame00608-org.jpg,wavy,thick,dense,3,unknown
Frame00295-org.jpg,wavy,medium,medium,3,unknown
Frame00555-org.jpg,wavy,medium,medium,3,unknown
Frame00654-org.jpg,wavy,medium,medium,3,unknown
Frame00707-org.jpg,wavy,thick,dense,3,unknown
Frame00205-org.jpg,wavy,thick,medium,3,unknown
Frame00345-org.jpg,wavy,thick,dense,3,unknown
Frame00014-org.jpg,wavy,medium,medium,3,unknown
Frame00980-org.jpg,wavy,medium,sparse,3,unknown
Frame00957-org.jpg,wavy,medium,dense,3,unknown
Frame00689-org.jpg,wavy,medium,dense,3,unknown
Frame00289-org.jpg,wavy,thick,medium,3,unknown
Frame00042-org.jpg,wavy,medium,dense,5,curved
Frame01011-org.jpg,wavy,medium,sparse,5,straight
Frame00279-org.jpg,wavy,medium,medium,5,straight
Frame00552-org.jpg,wavy,thick,medium,3,unknown
Frame00376-org.jpg,wavy,medium,dense,3,unknown
Frame00147-org.jpg,wavy,medium,medium,2,curved
Frame00087-org.jpg,wavy,thick,medium,3,unknown
Frame00123-org.jpg,wavy,medium,medium,3,unknown
Frame00335-org.jpg,wavy,thick,medium,1,curved
Frame00757-org.jpg,wavy,medium,medium,3,unknown
Frame00044-org.jpg,wavy,medium,dense,5,straight
